step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,amount_log,amount_sqrt,amount_bin_encoded,amount_to_oldbalance_ratio,amount_exceeds_balance,hour,day,is_night,is_weekend,hour_sin,hour_cos,time_since_last_tx,tx_count_1h,tx_count_6h,tx_count_24h,user_tx_count,user_avg_amount,user_std_amount,amount_deviation_from_user_avg,tx_velocity,balance_change_orig,balance_change_dest,expected_balance_change,balance_inconsistency_orig,orig_zero_balance_before,orig_zero_balance_after,dest_zero_balance_before,dest_zero_balance_after,drains_account,balance_mismatch,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,is_risky_type,user_type_switches,dest_is_merchant,is_c2c,dest_tx_count,dest_is_popular,risk_score,consistency_score,tx_intensity,isFraud
1,181.0,181.0,0.0,0.0,0.0,5.204006687076795,13.45362404707371,0,0.9945054945054945,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,181.0,0.0,0.0,0.181,-181.0,0.0,-181.0,0.0,0,1,1,1,1,0,False,False,False,False,True,1,1,0,1,2,1,8,0.6666666666666666,1.75,1
1,181.0,181.0,0.0,21182.0,0.0,5.204006687076795,13.45362404707371,0,0.9945054945054945,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,181.0,0.0,0.0,0.181,-181.0,-21182.0,-181.0,0.0,0,1,0,1,1,0,False,True,False,False,False,1,1,0,1,1,0,8,0.6666666666666666,1.75,1
1,2806.0,2806.0,0.0,0.0,0.0,7.939871576361883,52.97169055259611,1,0.9996437477734236,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,2806.0,0.0,0.0,2.806,-2806.0,0.0,-2806.0,0.0,0,1,1,1,1,0,False,False,False,False,True,1,1,0,1,1,0,8,0.6666666666666666,1.75,1
1,1277212.77,1277212.77,0.0,0.0,0.0,14.060191521161451,1130.1383853316372,4,0.9999992170457104,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,1277212.77,0.0,0.0,1277.21277,-1277212.77,0.0,-1277212.77,0.0,0,1,1,1,1,0,False,False,False,False,True,1,1,0,1,1,0,8,0.6666666666666666,1.75,1
1,416001.33,0.0,0.0,102.0,9291619.62,12.938446140189253,644.9816509017912,3,416001.33,1,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,416001.33,0.0,0.0,416.00133,0.0,9291517.62,-416001.33,416001.33,1,1,0,0,0,0,False,True,False,False,False,1,1,0,1,2,1,7,0.6666666666666666,1.75,1
1,2806.0,2806.0,0.0,26202.0,0.0,7.939871576361883,52.97169055259611,1,0.9996437477734236,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,2806.0,0.0,0.0,2.806,-2806.0,-26202.0,-2806.0,0.0,0,1,0,1,1,0,False,True,False,False,False,1,1,0,1,1,0,8,0.6666666666666666,1.75,1
1,20128.0,20128.0,0.0,6268.0,12145.85,9.909916840301031,141.8731828077456,2,0.9999503204332059,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,20128.0,0.0,0.0,20.128,-20128.0,5877.85,-20128.0,0.0,0,1,0,0,1,0,False,True,False,False,False,1,1,0,1,1,0,8,0.6666666666666666,1.75,1
1,20128.0,20128.0,0.0,0.0,0.0,9.909916840301031,141.8731828077456,2,0.9999503204332059,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,20128.0,0.0,0.0,20.128,-20128.0,0.0,-20128.0,0.0,0,1,1,1,1,0,False,False,False,False,True,1,1,0,1,2,1,8,0.6666666666666666,1.75,1
1,1277212.77,1277212.77,0.0,0.0,2444985.19,14.060191521161451,1130.1383853316372,4,0.9999992170457104,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,1277212.77,0.0,0.0,1277.21277,-1277212.77,2444985.19,-1277212.77,0.0,0,1,1,0,1,0,False,True,False,False,False,1,1,0,1,2,1,8,0.6666666666666666,1.75,1
1,1527.08,710262.99,708735.91,0.0,0.0,7.331767324376879,39.077870975783725,1,0.0021500174885678773,0,1,0,1,0,0.25881904510252074,0.9659258262890683,999.0,1.0,1.0,1.0,1,1527.08,0.0,0.0,1.52708,-1527.079999999958,0.0,-1527.08,4.18367562815547e-11,0,0,1,1,0,0,False,False,False,True,False,0,1,1,0,1,0,1,0.6666666666666666,1.75,0
