step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,amount_log,amount_to_oldbalance_ratio,amount_exceeds_balance,is_high_amount,is_night,is_weekend,hour_sin,hour_cos,balance_change_orig,balance_change_dest,expected_balance_change,balance_inconsistency_orig,has_zero_balances,drains_account,balance_mismatch,is_transfer,is_cashout,is_risky_type,dest_is_merchant,is_c2c,risk_score,isFraud
1,181.0,181.0,0.0,0.0,0.0,5.204006687076795,0.9945054945054945,0,0,1,0,0.25881904510252074,0.9659258262890683,-181.0,0.0,-181.0,0.0,1,1,0,1,0,1,0,1,8,1
1,181.0,181.0,0.0,21182.0,0.0,5.204006687076795,0.9945054945054945,0,0,1,0,0.25881904510252074,0.9659258262890683,-181.0,-21182.0,-181.0,0.0,1,1,0,0,1,1,0,1,8,1
1,2806.0,2806.0,0.0,0.0,0.0,7.939871576361883,0.9996437477734236,0,0,1,0,0.25881904510252074,0.9659258262890683,-2806.0,0.0,-2806.0,0.0,1,1,0,1,0,1,0,1,8,1
1,1277212.77,1277212.77,0.0,0.0,0.0,14.060191521161451,0.9999992170457104,0,0,1,0,0.25881904510252074,0.9659258262890683,-1277212.77,0.0,-1277212.77,0.0,1,1,0,1,0,1,0,1,8,1
1,416001.33,0.0,0.0,102.0,9291619.62,12.938446140189253,416001.33,1,0,1,0,0.25881904510252074,0.9659258262890683,0.0,9291517.62,-416001.33,416001.33,1,0,0,0,1,1,0,1,7,1
1,2806.0,2806.0,0.0,26202.0,0.0,7.939871576361883,0.9996437477734236,0,0,1,0,0.25881904510252074,0.9659258262890683,-2806.0,-26202.0,-2806.0,0.0,1,1,0,0,1,1,0,1,8,1
1,20128.0,20128.0,0.0,6268.0,12145.85,9.909916840301031,0.9999503204332059,0,0,1,0,0.25881904510252074,0.9659258262890683,-20128.0,5877.85,-20128.0,0.0,1,1,0,0,1,1,0,1,8,1
1,20128.0,20128.0,0.0,0.0,0.0,9.909916840301031,0.9999503204332059,0,0,1,0,0.25881904510252074,0.9659258262890683,-20128.0,0.0,-20128.0,0.0,1,1,0,1,0,1,0,1,8,1
1,1277212.77,1277212.77,0.0,0.0,2444985.19,14.060191521161451,0.9999992170457104,0,0,1,0,0.25881904510252074,0.9659258262890683,-1277212.77,2444985.19,-1277212.77,0.0,1,1,0,0,1,1,0,1,8,1
1,1527.08,710262.99,708735.91,0.0,0.0,7.331767324376879,0.0021500174885678773,0,0,1,0,0.25881904510252074,0.9659258262890683,-1527.079999999958,0.0,-1527.08,4.18367562815547e-11,1,0,0,0,0,0,1,0,1,0
1,3896.42,11558.39,7661.97,0.0,0.0,8.268070074743079,0.3370783406390822,0,0,1,0,0.25881904510252074,0.9659258262890683,-3896.419999999999,0.0,-3896.42,9.094947017729282e-13,1,0,0,0,0,0,1,0,1,0
1,227335.16,6073129.01,6300464.17,1817946.5,1254956.07,12.334185082097783,0.037432948022793934,0,0,1,0,0.25881904510252074,0.9659258262890683,227335.16000000015,-562990.4299999999,-227335.16,454670.3200000002,0,0,1,0,0,0,0,1,4,0
1,4591.98,52018.0,47426.02,0.0,0.0,8.432284329863885,0.08827505334589283,0,0,1,0,0.25881904510252074,0.9659258262890683,-4591.980000000003,0.0,-4591.98,3.637978807091713e-12,1,0,0,0,0,0,1,0,1,0
1,32635.14,0.0,0.0,0.0,0.0,10.39317554228088,32635.14,1,0,1,0,0.25881904510252074,0.9659258262890683,0.0,0.0,-32635.14,32635.14,1,0,0,0,0,0,1,0,3,0
